Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1740.6500153156417
FDW14,OUT017,2170.5857789112197
NCN55,OUT010,769.9695903376652
FDQ58,OUT017,2678.8561136638555
FDY38,OUT027,5132.342222949802
FDH56,OUT046,1740.6500153156417
FDL48,OUT018,2267.07751788757
FDC48,OUT027,3858.799869487593
FDN33,OUT045,2169.036463260849
FDA36,OUT017,2678.8561136638555
FDT44,OUT017,2170.5857789112197
FDQ56,OUT045,2169.036463260849
NCC54,OUT019,632.2882876531593
FDU11,OUT049,1740.6500153156417
DRL59,OUT013,2414.7191153318986
FDM24,OUT049,2125.349497483324
FDI57,OUT045,2677.3067980134847
DRC12,OUT018,2752.520455283355
NCM42,OUT027,3858.799869487593
FDA46,OUT010,677.2534011584064
FDA31,OUT013,2950.802451959768
NCJ31,OUT035,2614.663464992494
FDG52,OUT046,1370.8869648941231
NCL19,OUT019,597.2868342075113
FDS10,OUT035,2678.8561136638555
FDX22,OUT010,769.9695903376652
NCF19,OUT035,1842.8680109957897
NCE06,OUT046,2125.349497483324
DRC27,OUT046,2386.2959774241044
FDE21,OUT035,2170.5857789112197
NCR42,OUT019,566.2304293299921
FDX51,OUT018,2752.520455283355
NCR06,OUT018,2267.07751788757
FDU31,OUT027,5132.342222949802
FDU59,OUT017,2678.8561136638555
FDR03,OUT027,5132.342222949802
FDS49,OUT027,3858.799869487593
FDD48,OUT010,667.962853750561
NCF18,OUT017,2678.8561136638555
NCD43,OUT027,3858.799869487593
NCD54,OUT018,2752.520455283355
FDY19,OUT010,667.962853750561
NCY54,OUT017,2678.8561136638555
NCL19,OUT018,2752.520455283355
FDP23,OUT010,769.9695903376652
FDC26,OUT013,2707.3156795629625
FDR14,OUT010,664.3634888735338
NCS41,OUT035,2678.8561136638555
FDF41,OUT035,2614.663464992494
FDU34,OUT046,1740.6500153156417
DRH11,OUT046,1370.8869648941231
FDM03,OUT013,2707.3156795629625
FDS31,OUT017,2678.8561136638555
FDJ20,OUT017,2170.5857789112197
FDV44,OUT027,4229.8508764080125
FDG02,OUT049,2125.349497483324
FDA09,OUT013,2950.802451959768
FDT04,OUT013,2414.7191153318986
FDL58,OUT019,632.2882876531593
FDE52,OUT045,2169.036463260849
FDW12,OUT035,2678.8561136638555
FDL51,OUT017,2614.663464992494
NCY42,OUT027,4229.8508764080125
FDR07,OUT017,2170.5857789112197
FDN40,OUT045,2677.3067980134847
FDB35,OUT027,3858.799869487593
FDA22,OUT017,2678.8561136638555
NCL06,OUT046,2386.2959774241044
FDI35,OUT013,2950.802451959768
NCW42,OUT045,2613.1141493421233
NCX06,OUT049,2125.349497483324
FDC37,OUT027,3858.799869487593
FDZ14,OUT018,2536.248951968297
DRG49,OUT049,2389.2437480902304
NCG06,OUT045,2613.1141493421233
DRC36,OUT045,2677.3067980134847
FDV21,OUT019,557.0195586036299
FDB53,OUT046,2125.349497483324
DRP47,OUT019,632.2882876531593
FDA14,OUT013,2950.802451959768
DRC24,OUT035,2678.8561136638555
FDW21,OUT018,2536.248951968297
NCH29,OUT046,1740.6500153156417
FDU58,OUT013,2950.802451959768
FDY27,OUT017,2678.8561136638555
FDV56,OUT035,2170.5857789112197
FDT59,OUT046,2386.2959774241044
FDB23,OUT046,2386.2959774241044
FDR49,OUT045,1842.8680109957897
FDB03,OUT010,769.9695903376652
FDN39,OUT045,2677.3067980134847
FDX02,OUT027,5132.342222949802
FDQ16,OUT027,3858.799869487593
FDU35,OUT018,2536.248951968297
NCT29,OUT013,2707.3156795629625
FDZ27,OUT046,1370.8869648941231
FDN57,OUT017,2678.8561136638555
FDA03,OUT018,2752.520455283355
FDZ36,OUT045,2677.3067980134847
NCU05,OUT013,2707.3156795629625
FDT39,OUT018,2752.520455283355
FDK60,OUT017,2170.5857789112197
FDZ25,OUT017,2678.8561136638555
FDG12,OUT046,1740.6500153156417
DRB01,OUT019,597.2868342075113
NCC43,OUT027,5132.342222949802
FDX13,OUT019,632.2882876531593
FDM22,OUT049,1370.8869648941231
FDJ03,OUT027,3389.3947128677587
FDU14,OUT018,3202.928103829106
FDB33,OUT010,677.2534011584064
FDP27,OUT046,2125.349497483324
FDO38,OUT010,667.962853750561
FDE28,OUT027,5132.342222949802
FDO27,OUT035,2170.5857789112197
DRL23,OUT027,3858.799869487593
FDS28,OUT046,1370.8869648941231
FDX24,OUT013,2707.3156795629625
FDZ02,OUT035,2170.5857789112197
FDL46,OUT045,2169.036463260849
FDS60,OUT027,4229.8508764080125
NCO06,OUT017,1842.8680109957897
FDO16,OUT035,2170.5857789112197
FDC60,OUT049,1740.6500153156417
FDA48,OUT018,3202.928103829106
FDZ36,OUT027,4229.8508764080125
FDK27,OUT045,2169.036463260849
FDW23,OUT018,2267.07751788757
FDM14,OUT018,2536.248951968297
FDM14,OUT013,2707.3156795629625
FDW60,OUT018,2752.520455283355
FDE21,OUT013,2707.3156795629625
NCM42,OUT035,2170.5857789112197
FDY59,OUT010,667.962853750561
DRI49,OUT049,1740.6500153156417
FDT28,OUT019,597.2868342075113
FDQ22,OUT018,2267.07751788757
FDR60,OUT049,1740.6500153156417
